id,domain,title,publisher,year,geography,unit,access,format,url,variables,linkage_keys,candidate_level,socioeconomic_variables,status,priority,notes
nta_neet_2024_center_scores,exam_scores,NEET-UG 2024 anonymized centre-wise candidate marks,National Testing Agency,2024,exam centre; city; state of centre,candidate score,public_archived,PDF per centre / reconstructed CSV,https://neet.ntaonline.in/frontend/web/common-scorecard/index,"centre_id, serial_number, marks; centre metadata",centre_id; city; state,yes_anonymized,none,scriptable,critical,"2,333,053 rows are available through third-party reconstructions. Centre location is not candidate domicile. Official endpoint may be unstable; preserve a checksum once acquired."
dataful_neet_2024_scores,exam_scores,NEET 2024 state/city/centre-wise marks,"Dataful, derived from NTA",2024,state/city/exam centre,candidate score,free_account_or_web,CSV/XLSX/Parquet,https://dataful.in/datasets/20201/,"exam_year,state,city,center_name,center_id,sno,marks",center_id,yes_anonymized,none,available_external,critical,"2,333,053 rows, 7 columns. Free listing; download may require sign-in. Useful validation copy, not primary provenance."
github_neet_2024_reconstruction,exam_scores,NEET 2024 centre marks reconstruction and SQLite database,hq969 (independent),2024,state/city/exam centre,candidate score,public,CSV/SQLite/code,https://github.com/hq969/neet-2024-center-marks,centre metadata and 2.33m marks,centre_id,yes_anonymized,none,available_external,high,Reproducible extraction code and 38MB SQLite file. Must validate row counts and hashes against official NTA release.
nta_annual_result_statistics,exam_marginals,NEET-UG annual result statistics and press releases,National Testing Agency,2019-2026,India; state; category; gender where published,counts and cutoffs,public,PDF/HTML,https://neet.nta.nic.in/document-category/public-notices/,"registered,appeared,qualified,category,gender,state,language,cutoff","year,state,category,gender",no,category and gender only,scriptable_with_archive_variation,critical,Coverage and table layouts change by year. Build a manually verified annual table.
nta_information_bulletins,exam_rules,NEET-UG information bulletins,National Testing Agency,2019-2026,India,rules,public,PDF,https://neet.nta.nic.in/information-bulletin/,"eligibility,fees,exam pattern,quota descriptions,centre choice,language",year,no,reservation rules,scriptable,high,Needed for cohort-specific eligibility and fee logic.
mcc_ug_archive,admissions,MCC UG counselling archive,Medical Counselling Committee,2016-2026,"All India Quota, central universities, deemed universities, AIIMS/JIPMER/ESIC",seat and allotment record,public,PDF,https://mcc.nic.in/archive-ug/,"rank,category,quota,institute,course,round,allotment status; seat matrices","rank,year,round,institute",yes_partly_anonymized,reservation category; NRI flag in some files,scriptable_pdf,critical,Final allotment and admitted-candidate PDFs can reconstruct AIQ and deemed admissions. Does not cover most state-quota seats.
nmc_college_course_search,seat_capacity,NMC college and course search / MBBS college list,National Medical Commission,current and archive,"college,state",college-course intake,public,HTML/PDF,https://www.nmc.org.in/information-desk/college-and-course-search/,"college,state,management,university,inception,intake,recognition",NMC college code; college name; state,no,none,scriptable_html,critical,"National capacity baseline. INIs sometimes excluded from seat-matrix notices, so reconcile with MCC AIIMS/JIPMER lists."
mcc_state_schedule,admissions,MCC state counselling schedules and state-data-sharing notices,Medical Counselling Committee,2020-2026,states/UTs,schedule/authority,public,PDF,https://mcc.nic.in/archive-ug/,"state counselling dates, coordination rules","state,year",no,none,manual_pdf,medium,Useful for discovering state portals and defining final-round completion.
hces_2023_24,household_resources,Household Consumption Expenditure Survey 2023-24,MoSPI / National Sample Survey,2023-24,"state,NSS region,rural/urban",household/person,registration_required,unit microdata,https://www.mospi.gov.in/themes/product/71-household-consumption-expenditure-survey-hces,"MPCE,consumption items,household size,social group,religion,location","state,NSS region,district where available",no,strong,local_archive_csv_docs,critical,"Primary distribution for household living-standard percentiles. Consumption, not income. Primary HCES 2023-24 CSV+docs now local under data/external/mospi/hces/2023-24/raw/ (not committed)."
cmse_2025,coaching_costs,"Comprehensive Modular Survey on Education, NSS 80th Round",MoSPI / NSS,2025,"state,rural/urban",person/student/household,registration_required,unit microdata plus metadata,https://microdata.gov.in/NADA/index.php/catalog/255,"school fees,private coaching receipt and expenditure,boarding/lodging,course level,school type,household funding",household/person; state; sector,no,household and student covariates,local_archive_csv_docs,critical,"Best current national coaching-cost source, but may not identify NEET-specific coaching cleanly. CMSE 2025 CSV+docs local under data/external/mospi/cmse/2025/raw/ (not committed)."
nss_education_2017_18,education_access_costs,"Household Social Consumption: Education, NSS 75th Round",MoSPI / NSSO,2017-18,"state,district,NSS region,rural/urban",person/household,public_or_registration,unit microdata,https://microdata.gov.in/NADA/index.php/catalog/151,"education level,course type,institution type,private coaching,fees,transport,hostel,dropout reasons,parent/household attributes","household/person,state,district",no,strong,local_archive_csv_docs,critical,Core source for professional higher-education access and historical coaching expenditure. NSS Education 75th Round CSV+docs local under data/external/mospi/nss_education/2017-18/raw/ (not committed).
nfhs5,household_demography,National Family Health Survey 5,IIPS / Ministry of Health and Family Welfare,2019-21,"district,state,rural/urban",household/person,DHS_registration_required,unit microdata,https://dhsprogram.com/data/available-datasets.cfm,"asset wealth,education,caste/religion,household structure,gender,health","district,state,cluster",no,strong,registration_required,high,Useful for synthetic household covariates and district distributions; does not contain NEET participation.
aidis_2019,wealth_debt,All India Debt and Investment Survey,MoSPI / NSS,2019,"state,rural/urban",household,registration_required,unit microdata,https://microdata.gov.in/NADA/index.php/catalog/154,"assets,liabilities,debt purpose,land,financial assets,household characteristics","state,sector,household",no,strong,local_archive_csv_docs,high,Best public household balance-sheet source for ability to finance coaching/private college. AIDIS 2019 CSV+docs local under data/external/mospi/aidis/2019/raw/ (not committed).
ihds_1_2,mobility_households,India Human Development Survey waves 1 and 2,NCAER / University of Maryland,"2004-05,2011-12","state,district,rural/urban",longitudinal household/person,public_registration,microdata,https://ihds.umd.edu/data,"income,consumption,education,caste,religion,occupation,schooling,household relationships","panel household/person,district,state",no,strong,registration_required,high,"Older, but uniquely useful for intergenerational and sibling correlations."
udise_plus,school_pipeline,UDISE+ school education administrative data,Ministry of Education,2018-present,"school,district,state",school/aggregate students,public dashboards/reports; microdata limited,CSV/dashboard/PDF,https://udiseplus.gov.in/,"enrolment,school management,teachers,facilities,transition,board/level","school code,district,state",no,"school management,gender,category aggregates",mixed_access,high,Needed for pre-NEET pipeline and school context. Individual linkage is unavailable.
aser,learning_schooling,Annual Status of Education Report,Pratham Education Foundation,annual/periodic,rural district/state,child/household in sampled villages,reports; microdata by request/selected releases,PDF/data request,https://asercentre.org/,"basic learning,school type,household context,age,gender","district,state",no,limited,reports_or_request,medium,"Useful proxy for foundational preparation, mainly rural and younger ages."
plfs_2022_23_2023_24,labor_outcomes,Periodic Labour Force Survey annual unit data,MoSPI / NSS,2017-18 onward,"state,rural/urban",person/household,registration_required,unit microdata,https://microdata.gov.in/NADA/index.php/catalog/213,"occupation,industry,education,employment status,wages,self-employment,gender,social group,state","state,sector,occupation,education",no,strong,local_archive_csv_docs,critical,Primary source for physician and alternative-career outcome distributions. Samples become sparse under fine intersections. PLFS 2023-24 and calendar 2025 CSV+docs local; additional waves downloading via API model-batch. Paths under data/external/mospi/plfs/.
world_bank_health_labor_2025,labor_outcomes,An Overview of the Indian Health Labor Markets,World Bank,2025 using PLFS 2022-23,"India,rural/urban,sector,occupation",occupation summary,public,PDF,https://documents1.worldbank.org/curated/en/099093025154528532/pdf/P175882-fce3fc74-6041-43d5-b91f-7d94a3dc2bfa.pdf,"wage distributions,public/private,rural/urban,job quality,participation","occupation,sector,urbanity",no,selected,available_pdf,critical,Strong published benchmark and validation target for PLFS analysis.
aishe,higher_education_alternatives,All India Survey on Higher Education,Ministry of Education,2011 onward,"institution,district,state",institution/course aggregate,public reports/dashboard; detailed data variable,CSV/dashboard/PDF,https://aishe.gov.in/,"enrolment,discipline,institution type,gender,social category,teachers,graduates","institution,district,state,discipline,year",no,gender/category aggregates,mixed_access,high,Provides denominators and capacity for alternative degrees; not linked to earnings.
ilo_india_employment_2024,labor_context,India Employment Report 2024,ILO and Institute for Human Development,2024 using PLFS and historical surveys,"India,state/region in selected tables",published estimates,public,PDF,https://www.ilo.org/publications/major-publications/india-employment-report-2024-youth-employment-education-and-skills,"youth unemployment,formal employment,technical education,earnings,region,consumption quintile","year,region,education",no,strong aggregates,available_pdf,high,"Context and validation source, not a substitute for PLFS microdata."
wid_india_2024,income_wealth_distribution,"Income and Wealth Inequality in India, 1922-2023",World Inequality Lab,2022-23 latest estimates,India,adult income/wealth distribution,public,PDF and WID database,https://wid.world/www-site/uploads/2024/03/WorldInequalityLab_WP2024_09_Income-and-Wealth-Inequality-in-India-1922-2023_Final.pdf,"income and wealth shares,thresholds,group averages","year,percentile group",no,distribution only,available_pdf_database,high,National distributional scale. Not directly comparable to PLFS wages without careful definitions.
state_fee_committees,medical_costs,State private medical-college fee orders and fee-regulatory committees,State governments / fee fixation committees,annual or multi-year orders,"state,college,quota",annual fee,public but fragmented,PDF/HTML,,"tuition,development,hostel,NRI/management/government quota fees","state,college,quota,year",no,none,fragmented_state_collection,critical,"Must be collected state by state. Essential for affordability. Often spread across counselling brochures, fee orders and college notices."
nmc_stipend_details,medical_costs_outcomes,Medical-college internship stipend details,National Medical Commission / colleges,current,"college,state",monthly stipend,public,HTML/PDF,https://www.nmc.org.in/information-desk/for-students-to-study-in-india/details-of-stipend-paid-by-medical-colleges/,"college,course year,intern stipend,PG stipend","college,state",no,none,scriptable_or_manual,medium,Useful for near-term cash-flow model during internship; data quality and completeness require auditing.
financial_barriers_medical_education_2024,medical_costs_research,Financial barriers and inequity in medical education in India,BMC Medical Education / authors,2024,India,reviewed fee and financing evidence,open_access,HTML/PDF,https://pmc.ncbi.nlm.nih.gov/articles/PMC10778416/,"coaching costs,tuition ranges,financial barriers,policy context",source/year/state where reported,no,qualitative and selected estimates,available_article,high,Narrative review; trace every fee figure to its original source before simulation use.
professional_higher_ed_inequality_2024,education_inequality_research,Socioeconomic Inequality in Accessing Professional Higher Education in India,The Indian Economic Journal,2024 online / 2026 issue,India,regression estimates using NSS 75th,abstract; article restricted,article,https://doi.org/10.1177/00194662241260812,"gender,caste,economic status,professional higher education access",NSS 75th variables,no,strong,restricted_article_public_data,high,Data are public. Reproduce analysis rather than rely only on paywalled tables.
rajan_committee_2021,neet_equity_state_case,Justice A.K. Rajan Committee report on NEET impacts in Tamil Nadu,Government of Tamil Nadu committee,2021,Tamil Nadu,admitted-student and school-background aggregates,public,PDF,https://www.thehinducentre.com/resources/article36589938.ece/binary/N21092966.pdf,"admitted repeaters,coaching,school type,rurality,parental income,category","year,school type,admission status",no/aggregates,strong among admitted,available_pdf,critical,Rich state case but politically commissioned and lacks applicant denominators for many comparisons.
intergenerational_mobility_asher_2024,social_mobility_research,Intergenerational Mobility in India: New Measures and Estimates,AEJ Applied Economics,2024,district/social group over time,education-rank mobility estimates,article and replication package,PDF/code/data outputs,https://www.aeaweb.org/articles?id=10.1257/app.20210686,"upward mobility by district,caste,religion,gender/cohort","district,state,group,cohort",no,strong,replication_available,high,Excellent geographic mobility context; not NEET-specific.
ihds_education_mobility_2024,social_mobility_research,Intergenerational education mobility in India: nonlinearity and the Great Gatsby Curve,Frontiers in Sociology,2024,India/subgroups,IHDS estimates,open_access,HTML/PDF,https://doi.org/10.3389/fsoc.2024.1295550,"parent-child education persistence by caste,religion,urbanity,quantile",IHDS variables,no,strong,available_article,medium,Useful for prior distributions and narrative context.
neet_anxiety_2020_study,mental_health,Assessment of anxiety among NEET-UG 2020 aspirants,Cureus,2020 sample / 2023 publication,one private junior college,student survey,open_access,article,https://pmc.ncbi.nlm.nih.gov/articles/PMC10523350/,"Westside Test Anxiety Scale,reported stress,age,gender",none,yes study sample,weak,available_article,medium,n=200 convenience sample; cannot estimate national prevalence.
neet_psychosocial_2026,mental_health,Psychosocial Consequences of NEET Preparation,Innovare Journal of Education,2026,one urban district in South India,student survey,open_access,article/PDF,https://doi.org/10.22159/ijoe.2026v14i2.58546,"stress,anxiety,depressive symptoms,parental pressure,home environment,coaching,repeater status",none,yes study sample,limited,available_article,medium,n=400 cross-sectional; recent but geographically narrow.
kota_prevention_2025,mental_health,Psychiatric interventions and suicide prevention in India coaching centers,Indian Journal of Psychiatry,2025,Kota/Rajasthan context,viewpoint/framework,open_access_noncommercial,article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12774306/,"risk mechanisms,prevention framework,policy gaps",none,no,qualitative,available_article,medium,Not an effect-size dataset.
ncrb_adr_education_suicide,mental_health_admin,Accidental Deaths and Suicides in India,National Crime Records Bureau,annual,state/India,reported death,public reports,PDF tables,https://ncrb.gov.in/accidental-deaths-suicides-in-india-adsi.html,"student suicides,exam failure,profession,state,sex,age","state,year,sex,age,cause",no,weak,manual_pdf,high,Administrative categories are not NEET-specific and may undercount or misclassify causes.
coaching_company_fees,coaching_market,Published coaching-program fees and locations,"ALLEN,Aakash,Motion,Physics Wallah and others",current/archive,"city,online/offline",course price,public advertising; archival instability,HTML/PDF,,"course duration,mode,fee,scholarship,test series,hostel where advertised","company,city,year,course",no,none,scrape_and_archive,high,"Advertising is useful for price menus, not effectiveness. Preserve screenshots/PDFs with timestamps."
cmie_cphs,household_income_private,Consumer Pyramids Household Survey,CMIE,2014-present,"state,region,urban/rural",panel household/person,paid,microdata,https://consumerpyramidsdx.cmie.com/,"monthly income,consumption,employment,education,household panel","household/person,state",no,strong,paid_optional,medium,"Would improve income dynamics and shocks, but sample representativeness is debated and license is costly."
people_research_indian_consumer_economy,household_income_private,PRICE ICE360 surveys,People Research on India Consumer Economy,"2014,2016,2021 and related","India,state/settlement type",household,reports; microdata uncertain/request,reports/data request,https://www.price360.in/,"income,wealth,consumption,class profiles","state,settlement,household",no,strong,reports_or_request,medium,Potential source for income classes and wealth; verify access and methodology.
osf_neet_jee_aspirants_2026,mental_health_microdata,Parental expectations academic stress and NSSI among NEET/JEE aspirants - anonymized OSF data,Biswas and Maji / IIT ISM Dhanbad,2025-26,Kota Rajasthan residential hostels,aspirant,public_view_only,data/codebook/methods,https://osf.io/tnh4x/overview?view_only=871cca8775f8420e802e172b5534673e,parental expectations; academic stress; mattering; NSSI; demographics; exam type to verify,none,yes_anonymized,to verify in codebook,available_external,critical,151 usable respondents. Download manually and review license/codebook before committing.
alagappa_neet_psychosocial_2026,mental_health_microdata,Psychosocial Consequences of NEET Preparation,Alagappa University,2026,one urban district in South India,Grade 11-12 student,author_request,survey microdata/codebook,https://doi.org/10.22159/ijoe.2026v14i2.58546,coaching intensity; repeat attempts; stress; anxiety; depressive symptoms; parental pressure; conflict; support,none,yes_research_sample,home environment and demographics,request_author,critical,N=400; paper is CC BY but raw-data license is unknown.
puducherry_neet_mbbs_performance,selection_validity_microdata,NEET score and first-year MBBS performance analytic records,Sri Manakula Vinayagar Medical College and Hospital,2017-18 cohort,Puducherry,admitted MBBS student,author_request,institutional analytic file,https://pmc.ncbi.nlm.nih.gov/articles/PMC12178463/,NEET score; Class 12 score; school board; demographics; first-year results,institutional student id not requested,yes_deidentified_requested,limited demographics,request_author,high,N=150; request deidentified file or custom cross-tabs.
kerala_social_origin_523,professional_access_microdata,Social origin and social capital among backward-class students in Kerala higher education,Edannur and Rasak / Pondicherry University,2015,Kerala,higher-education student,author_request,survey microdata/questionnaire,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2679187,programme; SC/ST/OBC; social origin; family social capital; networks; institution type,none,yes_research_sample,strong social-origin variables,request_author,high,N=523; pre-NEET but directly compares medical and alternative programmes.
openicpsr_affirmative_action_engineering,admissions_replication,Does Affirmative Action Work replication data,Bagde Epple Taylor / AEA / OpenICPSR,2019,India; 200+ engineering colleges,applicant/student/college,public,replication files/code/readme,https://doi.org/10.3886/E112992V1,caste; gender; admissions; college quality; academic outcomes,dataset-defined,yes_research_data,caste; gender,downloadable,high,Engineering analogue for reservation cutoffs and outcomes; not NEET.
kerala_cee_keam_archive,state_admissions,Kerala KEAM medical admissions archive,Commissioner for Entrance Examinations Kerala,2019-2026,Kerala,rank/category/allotment record,public,HTML/PDF,https://cee.kerala.gov.in/keam2024/,rank; category list; allotment; last rank; vacancy; course,year; phase; rank; college; course; category,yes_partly_identifiable_public_lists,reservation category only,scriptable_pdf_html,critical,Best first state adapter. Aggregate and remove any identifiers.
nirf_medical_institution_filings,institutional_outcomes,NIRF medical college submissions,Ministry of Education and medical institutions,annual,college; state,college-year aggregate,public,PDF/HTML,https://www.nirfindia.org/,student strength; gender; state origin; economically backward; socially challenged; reimbursement; graduation; placement; median salary where reported,institution; year,no,aggregate economic/social challenge,scrape_and_archive,high,"Useful validation, not applicant probabilities."
moe_rti_neet_archive,public_records_discovery,Ministry of Education historical NEET RTI request archive,Ministry of Education,2019-present,India and states,request/reply,public_archive,HTML/attachments,https://www.education.gov.in/en/rti-higher-education,historical requests for scores; category lists; family financial status; coaching expenditure; seat counts,RTI request ID,varies,some requests,manual_recovery,high,Request text is indexed; reply attachments are inconsistent and require recovery.
