state_or_ut,authority,official_or_primary_portal,verification_status,target_artifacts
Andaman & Nicobar Islands,ANIMS / Andaman administration,https://collegeadmission.andaman.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Andhra Pradesh,Dr. NTR University of Health Sciences,https://drntr.uhsap.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Arunachal Pradesh,Directorate of Higher and Technical Education,https://apdhte.nic.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Assam,Directorate of Medical Education,https://dme.assam.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Bihar,BCECEB,https://bceceboard.bihar.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Chandigarh,Government Medical College and Hospital,https://gmch.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Chhattisgarh,Directorate of Medical Education,https://cgdme.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Delhi - central/DU,MCC / Faculty of Medical Sciences,https://www.fmsc.ac.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Delhi - IPU,Guru Gobind Singh Indraprastha University,https://ipu.admissions.nic.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Goa,Directorate of Technical Education,https://dte.goa.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Gujarat,Admission Committee for Professional UG Medical Courses,https://www.medadmgujarat.org/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Haryana,Department of Medical Education and Research,https://dmer.haryana.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Himachal Pradesh,Atal Medical and Research University,https://amruhp.ac.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Jammu & Kashmir,J&K Board of Professional Entrance Examinations,https://jkbopee.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Jharkhand,Jharkhand Combined Entrance Competitive Examination Board,https://jceceb.jharkhand.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Karnataka,Karnataka Examinations Authority,https://cetonline.karnataka.gov.in/kea/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Kerala,Commissioner for Entrance Examinations,https://cee.kerala.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Madhya Pradesh,Department of Medical Education,https://dme.mponline.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Maharashtra,State Common Entrance Test Cell,https://cetcell.mahacet.org/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Manipur,Directorate of Health Services,https://manipurhealthdirectorate.mn.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Meghalaya,Department of Health and Family Welfare,https://meghealth.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Mizoram,Department of Higher and Technical Education / Medical College,https://mc.mizoram.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Nagaland,Directorate of Technical Education,https://dtenagaland.org.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Odisha,Odisha Joint Entrance Examination,https://ojee.nic.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Puducherry,CENTAC,https://centacpuducherry.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Punjab,Baba Farid University of Health Sciences,https://bfuhs.ac.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Rajasthan,State Medical and Dental Counselling Board / RUHS,https://rajugneet2024.org/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Tamil Nadu,Directorate of Medical Education and Research - Selection Committee,https://tnmedicalselection.net/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Telangana,Kaloji Narayana Rao University of Health Sciences,https://www.knruhs.telangana.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Tripura,Directorate of Medical Education,https://dme.tripura.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Uttar Pradesh,Directorate General Medical Education and Training,https://upneet.gov.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
Uttarakhand,Hemwati Nandan Bahuguna Uttarakhand Medical Education University,https://hnbumu.ac.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
West Bengal,West Bengal Medical Counselling Committee,https://wbmcc.nic.in/,needs_yearly_verification,merit list; allotment result; seat matrix; fee order; prospectus
