status,priority,provider,dataset,years,geography,access_type,known_cost,eligibility,what_to_get,key_variables,model_use,limitations,url
not_requested,A1,MoSPI Microdata Portal,Periodic Labour Force Survey (annual/calendar public-use files),2017-18 through 2023-24; calendar 2024; calendar 2025,"India, state, district, rural/urban",Free account/login,₹0,Any registered user,"Download every available household/person file, questionnaires, schedules, data dictionaries, estimation notes, and code lists for each wave. Highest priority: 2023-24 catalog 213 and 2025 catalog 284.",education level and field; technical education; occupation NCO; industry NIC; usual/current status; unemployment; regular/casual/self-employment; wages; hours; social group; religion; gender; age; state/district; survey weights,"Employment and earnings distributions for physicians, engineers, lawyers, nurses, pharmacists and alternate paths; unemployment/underemployment gates; pooling rare occupations",Questionnaire/design changed in 2025; keep pre-2025 and revamped 2025 models separate before harmonizing.,https://microdata.gov.in/NADA/index.php/catalog/PLFS
not_requested,A2,MoSPI Microdata Portal,Household Consumption Expenditure Survey (HCES),2022-23 and 2023-24,"India, state, NSS region, district where released, rural/urban",Free account/login,₹0,Any registered user,"Download all levels, schedules, codebooks, multiplier files, and methodology for both waves.",monthly per-capita consumption; detailed expenditure; household size; social group; religion; occupation; durable assets; free goods; geography; weights,Map American relative rank to Indian household-resource percentiles; coaching/tuition burden; affordability,Consumption is not income or wealth; use as primary welfare rank but retain separate wealth/debt models.,https://microdata.gov.in/NADA/index.php/catalog/237/get-microdata
not_requested,A3,MoSPI Microdata Portal,"Comprehensive Modular Survey on Education (CMSE), NSS 80th Round",2025,"India, state, rural/urban",Free account/login,₹0,Any registered user,"Download all person/household files plus questionnaire, data dictionary, multipliers and report.",current attendance; institution type; course; educational expenses; private coaching participation and expenditure; scholarships; digital access; reasons for non-attendance,Current coaching-cost and participation distributions; education-path costs and dropout,First release; validate variable denominators and survey weights carefully.,https://microdata.gov.in/NADA/index.php/catalog/255/get-microdata
not_requested,A4,MoSPI Microdata Portal,"Household Social Consumption: Education, NSS 75th Round",2017-18,"India, state, district, rural/urban",Free account/login,₹0,Any registered user,"Download all 8 levels, questionnaires, layouts, multipliers, sample-design and instruction files.",institution type; course; board/medium where available; all educational expenditure; preparation for higher/additional studies; scholarships; non-attendance; vocational/technical training,Pre-NEET-era/current comparison; tutoring and preparation expenses; alternative education routes,Older than current NEET market but exceptionally detailed; inflate costs and model structural change.,https://microdata.gov.in/NADA/index.php/catalog/151/get-microdata
not_requested,A5,MoSPI Microdata Portal,"Debt and Investment Survey (AIDIS), NSS 77th Round",2019,"India, state, rural/urban",Free account/login,₹0,Any registered user,"Download Visit 1 and Visit 2 files, schedules, asset/debt codebooks and multipliers.",land; buildings; financial assets; durable assets; outstanding debt; loan source/purpose; household characteristics; social group,"Private-seat affordability, borrowing capacity, catastrophic financing and wealth percentiles",Infrequent cross-section; not linked to NEET candidates.,https://microdata.gov.in/NADA/index.php/catalog/156/get-microdata
not_requested,A6,The DHS Program,National Family Health Survey NFHS-5,2019-21,"India, state, district/cluster, rural/urban",Free request/login; approval required,₹0,Registered researcher; submit project description,"Request household, household-member, women, men and GPS files for India. Download recode manuals and questionnaires too.",asset wealth index; caste/social group; religion; education; school attendance; household structure; urbanity; district/cluster; health and mental-health-adjacent indicators,Synthetic household demographics and small-area wealth/context; family composition; state/district calibration,GPS access is separately reviewed and coordinates are displaced; NFHS lacks NEET outcomes.,https://dhsprogram.com/data/dataset/India_Standard-DHS_2020.cfm
not_requested,A7,The DHS Program,National Family Health Survey NFHS-4,2015-16,"India, state, district/cluster, rural/urban",Free request/login; approval required,₹0,Registered researcher; submit project description,"Request same file families as NFHS-5, including GPS if approved.",same core variables as NFHS-5,Pre/post context and trend validation; district harmonization,Questionnaire and district boundaries differ from NFHS-5.,https://dhsprogram.com/data/dataset/India_Standard-DHS_2015.cfm
not_requested,A8,ICPSR / DSDR,India Human Development Survey I and II,2004-05 and 2011-12,"India, state, village/urban neighborhood",Free account/terms,₹0,Free ICPSR registration,"Download ICPSR 22626 and 36151 in a preferred statistical format plus all linking, community, school, medical facility, household and individual files.",household income and consumption; caste; religion; education; school type; fees; tutoring; occupation; wages; siblings; aspirations; health; panel IDs,"Intergenerational mobility, family investment, sibling correlations, education and employment transitions",Old relative to current NEET; useful for structural priors rather than current rates.,https://ihds.umd.edu/faq
not_requested,A9,PRICE,ICE 360 Household Surveys,"2014, 2016, 2021, 2023",21-25 states/UTs; rural/urban,Login/register; terms/approval or quote unclear,Unknown; ask PRICE,"Create account and request microdata for all four waves; download questionnaires, coding designs and data descriptions immediately.",measured household income; consumption; assets; debt; savings; gold; labour participation; education and health spending; household profile,Best potential joint income-consumption-wealth-debt source; longitudinal economic mobility and affordability,Current site does not state price or approval terms publicly; do not assume access until PRICE responds.,https://price360.in/data-center.php,
not_requested,A10,MoSPI Microdata Portal,Time Use Survey,2019 and 2024,"India, state, rural/urban",Free account/login,₹0,Any registered user,"Download person/household/activity-episode files, diaries, codebooks and multipliers for both waves.",study time; paid work; unpaid domestic/care work; travel; leisure; gender/age/education/geography,"Opportunity cost of repeat years, gendered study constraints, unpaid-work burden",Does not identify NEET aspirants; use as background-conditioned time-budget prior.,https://microdata.gov.in/NADA/index.php/catalog/236/get-microdata
