id,domain,publisher,year,geography,status,priority,notes
mcc_ug_archive,admissions,Medical Counselling Committee,2016-2026,"All India Quota, central universities, deemed universities, AIIMS/JIPMER/ESIC",scriptable_pdf,critical,Final allotment and admitted-candidate PDFs can reconstruct AIQ and deemed admissions. Does not cover most state-quota seats.
cmse_2025,coaching_costs,MoSPI / NSS,2025,"state,rural/urban",registration_required,critical,"Best current national coaching-cost source, but may not identify NEET-specific coaching cleanly."
nss_education_2017_18,education_access_costs,MoSPI / NSSO,2017-18,"state,district,NSS region,rural/urban",downloadable_catalog,critical,Core source for professional higher-education access and historical coaching expenditure.
nta_annual_result_statistics,exam_marginals,National Testing Agency,2019-2026,India; state; category; gender where published,scriptable_with_archive_variation,critical,Coverage and table layouts change by year. Build a manually verified annual table.
dataful_neet_2024_scores,exam_scores,"Dataful, derived from NTA",2024,state/city/exam centre,available_external,critical,"2,333,053 rows, 7 columns. Free listing; download may require sign-in. Useful validation copy, not primary provenance."
nta_neet_2024_center_scores,exam_scores,National Testing Agency,2024,exam centre; city; state of centre,scriptable,critical,"2,333,053 rows are available through third-party reconstructions. Centre location is not candidate domicile. Official endpoint may be unstable; preserve a checksum once acquired."
hces_2023_24,household_resources,MoSPI / National Sample Survey,2023-24,"state,NSS region,rural/urban",registration_required,critical,"Primary distribution for household living-standard percentiles. Consumption, not income."
plfs_2022_23_2023_24,labor_outcomes,MoSPI / NSS,2017-18 onward,"state,rural/urban",registration_required,critical,Primary source for physician and alternative-career outcome distributions. Samples become sparse under fine intersections.
world_bank_health_labor_2025,labor_outcomes,World Bank,2025 using PLFS 2022-23,"India,rural/urban,sector,occupation",available_pdf,critical,Strong published benchmark and validation target for PLFS analysis.
state_fee_committees,medical_costs,State governments / fee fixation committees,annual or multi-year orders,"state,college,quota",fragmented_state_collection,critical,"Must be collected state by state. Essential for affordability. Often spread across counselling brochures, fee orders and college notices."
alagappa_neet_psychosocial_2026,mental_health_microdata,Alagappa University,2026,one urban district in South India,request_author,critical,N=400; paper is CC BY but raw-data license is unknown.
osf_neet_jee_aspirants_2026,mental_health_microdata,Biswas and Maji / IIT ISM Dhanbad,2025-26,Kota Rajasthan residential hostels,available_external,critical,151 usable respondents. Download manually and review license/codebook before committing.
rajan_committee_2021,neet_equity_state_case,Government of Tamil Nadu committee,2021,Tamil Nadu,available_pdf,critical,Rich state case but politically commissioned and lacks applicant denominators for many comparisons.
nmc_college_course_search,seat_capacity,National Medical Commission,current and archive,"college,state",scriptable_html,critical,"National capacity baseline. INIs sometimes excluded from seat-matrix notices, so reconcile with MCC AIIMS/JIPMER lists."
kerala_cee_keam_archive,state_admissions,Commissioner for Entrance Examinations Kerala,2019-2026,Kerala,scriptable_pdf_html,critical,Best first state adapter. Aggregate and remove any identifiers.
openicpsr_affirmative_action_engineering,admissions_replication,Bagde Epple Taylor / AEA / OpenICPSR,2019,India; 200+ engineering colleges,downloadable,high,Engineering analogue for reservation cutoffs and outcomes; not NEET.
coaching_company_fees,coaching_market,"ALLEN,Aakash,Motion,Physics Wallah and others",current/archive,"city,online/offline",scrape_and_archive,high,"Advertising is useful for price menus, not effectiveness. Preserve screenshots/PDFs with timestamps."
professional_higher_ed_inequality_2024,education_inequality_research,The Indian Economic Journal,2024 online / 2026 issue,India,restricted_article_public_data,high,Data are public. Reproduce analysis rather than rely only on paywalled tables.
nta_information_bulletins,exam_rules,National Testing Agency,2019-2026,India,scriptable,high,Needed for cohort-specific eligibility and fee logic.
github_neet_2024_reconstruction,exam_scores,hq969 (independent),2024,state/city/exam centre,available_external,high,Reproducible extraction code and 38MB SQLite file. Must validate row counts and hashes against official NTA release.
aishe,higher_education_alternatives,Ministry of Education,2011 onward,"institution,district,state",mixed_access,high,Provides denominators and capacity for alternative degrees; not linked to earnings.
nfhs5,household_demography,IIPS / Ministry of Health and Family Welfare,2019-21,"district,state,rural/urban",registration_required,high,Useful for synthetic household covariates and district distributions; does not contain NEET participation.
wid_india_2024,income_wealth_distribution,World Inequality Lab,2022-23 latest estimates,India,available_pdf_database,high,National distributional scale. Not directly comparable to PLFS wages without careful definitions.
nirf_medical_institution_filings,institutional_outcomes,Ministry of Education and medical institutions,annual,college; state,scrape_and_archive,high,"Useful validation, not applicant probabilities."
ilo_india_employment_2024,labor_context,ILO and Institute for Human Development,2024 using PLFS and historical surveys,"India,state/region in selected tables",available_pdf,high,"Context and validation source, not a substitute for PLFS microdata."
financial_barriers_medical_education_2024,medical_costs_research,BMC Medical Education / authors,2024,India,available_article,high,Narrative review; trace every fee figure to its original source before simulation use.
