id,sample_order,official_question_number,subject,stem,option_a,option_b,option_c,option_d,correct_option,verification_status,featured_in_visual_essay
neet-2020-e1-population-attribute,1,,Biology,"Which of the following is not an attribute of a population?",Sex ratio,Natality,Mortality,Species interaction,D,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-genetics-match,2,,Biology,"Select the correct match.","Haemophilia — Y-linked","Phenylketonuria — autosomal dominant","Sickle-cell anaemia — autosomal recessive, chromosome 11","Thalassemia — X-linked",C,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-nitrogenase-products,3,,Biology,"The products of the reaction catalysed by nitrogenase in leguminous root nodules are:",Ammonia alone,Nitrate alone,Ammonia and oxygen,Ammonia and hydrogen,D,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-gel-electrophoresis,4,,Biology,"In gel electrophoresis, separated DNA fragments can be visualized using:","Acetocarmine under bright-blue light","Ethidium bromide under ultraviolet radiation","Acetocarmine under ultraviolet radiation","Ethidium bromide under infrared radiation",B,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-q101-sulphur-oxoacid,5,101,Chemistry,"Which of the following oxoacid of sulphur has an –O–O– linkage?","H₂SO₃, sulphurous acid","H₂SO₄, sulphuric acid","H₂S₂O₈, peroxodisulphuric acid","H₂S₂O₇, pyrosulphuric acid",C,"visually verified against official NTA English E1 PDF, page 13, question 101",true
neet-2020-e1-q104-free-expansion,6,104,Chemistry,"Which option correctly describes the free expansion of an ideal gas under adiabatic conditions?","q = 0, ΔT = 0, w = 0","q = 0, ΔT < 0, w > 0","q < 0, ΔT = 0, w = 0","q > 0, ΔT > 0, w > 0",A,"question number and wording visually verified against official NTA English E1 PDF; key supplied by extracted package",false
neet-2020-e1-q107-cross-aldol,7,107,Chemistry,"The reaction between benzaldehyde and acetophenone in dilute NaOH is known as:",Aldol condensation,Cannizzaro reaction,Cross-Cannizzaro reaction,Cross-aldol condensation,D,"question number and wording visually verified against official NTA English E1 PDF; key supplied by extracted package",false
neet-2020-e1-capacitor-current,8,,Physics,"A 40 μF capacitor is connected to a 200 V, 50 Hz AC supply. The RMS current is approximately:",1.7 A,2.05 A,2.5 A,25.1 A,C,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-atwood-acceleration,9,,Physics,"Masses of 4 kg and 6 kg hang from the two ends of a massless string passing over a frictionless pulley. The acceleration is:",g,g/2,g/5,g/10,C,"user-supplied text and key; official question number not yet aligned",false
neet-2020-e1-monatomic-thermal-energy,10,,Physics,"The average thermal energy of a monoatomic ideal-gas particle at temperature T is:",½kBT,3⁄2kBT,5⁄2kBT,7⁄2kBT,B,"user-supplied text and key; official question number not yet aligned",false
